split,pdbid,affinity,ligand,smiles,warning,protocol_source,has_smiles,has_global_file,has_pocket_file,overlap_with_training,overlap_with_validation,overlap_with_core_test,overlap_source
csar_hiq_135_protocol,1ax1,3.29,BGC-GAL,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,,MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,True,False,False,training
csar_hiq_135_protocol,1ax2,3.99,NGD-GAL,,No ligand file found,MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,False,False,False,True,False,False,training
csar_hiq_135_protocol,1b6m,8.4,PI6,[H]O[C@]([H])(C([H])([H])[N+]([H])([H])[C@]1([H])/C(=O)=N/[C@@]([H])([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])/C(=O)=N/C([H])([H])C([H])([H])C([H])([H])OC2=C([H])C([H])=C(C([H])=C2[H])C1([H])[H])[C@@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],"SDF Sanitize Error: Explicit valence for atom # 21 C, 5, is greater than permitted",MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,True,False,False,training
csar_hiq_135_protocol,1bcj,3.7,NGA,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]1O.CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]1O.CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]1O,,MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,True,False,False,training
csar_hiq_135_protocol,1bky,3.84,1MC,[H]C1=C([H])N(C([H])([H])[H])C(=O)=N=C1N([H])[H],"SDF Sanitize Error: Explicit valence for atom # 0 N, 4, is greater than permitted",MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,True,False,False,training
csar_hiq_135_protocol,1eby,9.7,BEB,O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@H]1C2=CC=CC=C2C[C@H]1O,,MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,False,False,True,core_test
csar_hiq_135_protocol,1gi9,5.96,123,[H]OC1=C(C2=N=C3C([H])=C([C@@+]([H])(N([H])[H])=N([H])[H])C([H])([H])C([H])=C3N2[H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],"SDF Sanitize Error: Explicit valence for atom # 6 C, 5, is greater than permitted",MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,True,False,False,training
csar_hiq_135_protocol,1gpk,5.37,HUP,[H]C1=C([H])[C@]2([H])C(=N=C1=O)C([H])([H])[C@@]1([H])C([H])=C(C([H])([H])[H])C([H])([H])[C@]2([N+]([H])([H])[H])/C1=C(\[H])C([H])([H])[H],"SDF Sanitize Error: Explicit valence for atom # 0 C, 5, is greater than permitted",MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,False,False,True,core_test
csar_hiq_135_protocol,1gww,4.28,UDP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C(=O)=N=C2=O)O[C@]1([H])C([H])([H])O[P@@](=O)([O-])OP(=O)([O-])[O-].[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C(=O)=N=C2=O)O[C@]1([H])C([H])([H])O[P@](=O)([O-])OP(=O)([O-])[O-],"SDF Sanitize Error: Explicit valence for atom # 1 C, 5, is greater than permitted",MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,True,False,False,training
csar_hiq_135_protocol,1gx0,4.28,UDP,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C(=O)=N=C2=O)O[C@]1([H])C([H])([H])O[P@@](=O)([O-])OP(=O)([O-])[O-].[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C(=O)=N=C2=O)O[C@]1([H])C([H])([H])O[P@](=O)([O-])OP(=O)([O-])[O-],"SDF Sanitize Error: Explicit valence for atom # 1 C, 5, is greater than permitted",MBP csar_2016: C:\smiles\zhenshi\学习\MBP-main\MBP-main\MBP\data\csar_2016,True,True,True,True,False,False,training
