split,pdbid,protein_feature_hash
training,11gs,a9eea51a472b15caa763ada0a8b804cb
training,13gs,58be59931c3637513562da3a50d03864
training,16pk,1b790ef34ee1fda05ec22e478d084b3b
training,184l,e73fdd445f2cfb4bf043da60b92f0da2
training,185l,e73fdd445f2cfb4bf043da60b92f0da2
training,186l,e73fdd445f2cfb4bf043da60b92f0da2
training,187l,e73fdd445f2cfb4bf043da60b92f0da2
training,188l,e73fdd445f2cfb4bf043da60b92f0da2
training,1a07,4f59a2f0568cf1310bb00353874c5e4d
training,1a08,9177fa0e0a9077849dc54044d4a2b495
training,1a09,24c6b4294daea5c1305354a6f5c7c227
training,1a0q,0f2c38ab48e94b427e8037440f0b26b0
training,1a0t,88e31380cabbdde7394e7121547eee8d
training,1a1b,4f59a2f0568cf1310bb00353874c5e4d
training,1a1c,4f59a2f0568cf1310bb00353874c5e4d
training,1a1e,1c2bf4576809c711715db6eea1a53f42
training,1a28,0ba0ee86cccfeb823da781ffbcf7f060
training,1a2c,db0b60701b66ad2d9d084589ccdbaccb
training,1a37,7e9a9bdac7488bbf43d0ed9ef74c54d0
training,1a3e,24cf095337f5e15a3e012c7127f6db76
training,1a42,0cd8e916492bde2e785e31a76241a4a3
training,1a46,312977c07eb7b9c5979b3c55a59ac246
training,1a4g,a8690340e32f474555a416dbeb03b107
training,1a4h,44be7f1af2d53d7ab11d70b8e5875877
training,1a4k,d396731e3ccdc07f7fa19f597336c59a
training,1a4m,a62141634bce4afc22527fd1c5dcc5be
training,1a4q,a8690340e32f474555a416dbeb03b107
training,1a4r,38bac945096185a984d6fbb2629945ae
training,1a4w,e1fbca53e94de965940d1cf1c8d617b5
training,1a50,7199156af49955ee7c41e8d378a0bd4a
training,1a52,619a13b1325a394b3e303be2b93aa525
training,1a5g,fb030f76a64890241608bfb4a6db4330
training,1a5h,2941408ac30a8369b4aec7099767d374
training,1a5v,d3e4dbc9b07b5248b78961d0d504f098
training,1a61,fb030f76a64890241608bfb4a6db4330
training,1a69,7f6e55079af98be0de1e073f2be6e7c8
training,1a7c,7953c4abb2a2f5a2d78b617e767a2e6d
training,1a7t,08b3d72d38af3927ec54ba92a0632f67
training,1a7x,4d3619b11cc764f6b4ae6620d1698077
training,1a85,963fd252224b3a30d5d51ab9f5fd6b7d
training,1a86,963fd252224b3a30d5d51ab9f5fd6b7d
training,1a8i,0401be5303a1cc2fc19f978ba9aa01ca
training,1a8t,03877d7fac15247a8ecae266b4537a75
training,1a99,2e35c0d90d54c6db85eaa57e7ff830d5
training,1a9m,d07b8c45e6f6a40e771e15127419f31a
training,1a9u,21edeae83c90bde5e37a45692cdb28e8
training,1aaq,016d9ce8025967f6aafe88bf91e5569a
training,1abf,0c0304006ef24105b8b483bb0adff406
training,1abt,02be764d8a41080448b56df14d3fe904
training,1acj,7fdaa0e365be473c5f15415cd5e2eec0
training,1ad8,1aa493b8aad2be17577c6edaa1bc824f
training,1add,a62141634bce4afc22527fd1c5dcc5be
training,1ado,dc30a90ef599869cc4a9b31317d409fe
training,1af2,750d3b0dfc73b503bb820208a85cf416
training,1af6,adfe84b26815fb29f0354f23c9634cae
training,1afk,eb5452a390b4fc3efb832133a9d028d7
training,1ag9,084217a7877e2eb21331a3108896a491
training,1agm,cd7ade1359cbabf853ea3e118ab6accb
training,1agw,bec9ff5e2c77cf12651357b625349139
training,1aht,24cd8ee89fe1521302d578283e9c1ef3
training,1ahx,dbaf2a9ab5d0c0d7ebd9d2116f55d413
training,1ahy,dbaf2a9ab5d0c0d7ebd9d2116f55d413
training,1ai4,8862c878a738193c0494bebda908b2d0
training,1ai5,8862c878a738193c0494bebda908b2d0
training,1ai6,7481541c1e5a511dbf79e52281099d54
training,1ai7,8862c878a738193c0494bebda908b2d0
training,1aj6,aa4a49c364b24a8abed92c911f8aca91
training,1aj7,7c99a820e875ab168f175deaef525a22
training,1ajn,8862c878a738193c0494bebda908b2d0
training,1ajp,8862c878a738193c0494bebda908b2d0
training,1ajq,8862c878a738193c0494bebda908b2d0
training,1ajv,dd13517d15676c4b233fb4e3e6f74200
training,1ajx,dd13517d15676c4b233fb4e3e6f74200
training,1akq,647d165da1ad70fa9d1f494db31da7d3
training,1akr,b12ede9075b3ce632211fd7cd03faae3
training,1akt,f45f27b47c1f2b1e4933be3a0d88f04d
training,1aku,647d165da1ad70fa9d1f494db31da7d3
training,1akv,647d165da1ad70fa9d1f494db31da7d3
training,1akw,f737c023e6791a4d027bf558f7fcb377
training,1al7,71053f0af05ffc19ea946fcb53bf22c6
training,1al8,f58eb4cc7c472e8689c89cca17b1d48d
training,1alw,63cf2b9594b531a32ca2cbd089968525
training,1amn,9d920c1725f16645e4de9d8a84452dca
training,1amw,b94a0b5a518d64e53e48a2246ba881a8
training,1anf,854b29ea7e502bb5e1650ff898fd5cd5
training,1ao0,32bf3e83aadf4577df6f3149b2761f6e
training,1ao8,60a2f4cc4fb2591bb9877b86a5e9984c
training,1apb,b085ed2bd785a99e82f402f722243c90
training,1apv,a69e36b553749f2f9330bf130669ff45
training,1apw,a69e36b553749f2f9330bf130669ff45
training,1aq1,a82ce37a6cab8f9f2d2aa2a7d36b527c
training,1aq7,9962212459e7ac1775277d41fe1876f9
training,1aqc,6c420f02e961d420ae1aab43c630f77e
training,1aqi,e2c73938ea1f6ca668b4033d6ae47b6c
training,1aqj,739308f6dec934797a77349da546ac64
training,1at5,3840d13442c5e2e2fda782ab2c39c6b9
training,1at6,1f36f48d63269d15b9c7c1b090eb72a1
training,1atr,00031c45519c8a50cfadb3ea34bbe1a0
training,1au0,0f9158fd48ec62a2b38998caabe67369
training,1au2,0f9158fd48ec62a2b38998caabe67369
training,1auj,c0a9b8c1212f9a8e73361a926eb31e59
training,1avd,104733efd13ee72b29597264a77ac501
training,1avn,98abe3fb9247ec43c91db519f0a93fa5
training,1avp,b04d9151d9e1fc9008528d99eb41ea49
training,1aw1,51262aa4b6b97c492ff980b912f56b7d
training,1awf,f75462517e58554979bafdfb3231df69
training,1awh,878c7fb6de858df4f1bdb895bb0c01de
